Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size
2021-05-11 13:24:09 UTC,215,d7ca4d1d-283d-44eb-b1c7-0103a6758d22,Malcolm,Brown,MIA,RB,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:19:58 UTC,194,bd9427ac-7804-43a4-8a28-ad3acc62d861,Darius,Slayton,NYG,WR,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:19:12 UTC,191,30370125-b0bf-4db2-81da-be8a411441f4,D'Wayne,Eskridge,SEA,WR,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:14:44 UTC,170,6442c478-0b39-4b19-866c-2981aad2b343,Dyami,Brown,WAS,WR,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:14:20 UTC,167,f864ceec-5828-4598-9544-d61e456c6ccd,Tre'Quan,Smith,NO,WR,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:10:22 UTC,146,c6c2a61c-9dd8-41af-b666-c53586139679,Rashaad,Penny,SEA,RB,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:10:13 UTC,143,c7f9dc86-807d-4c6a-8ec2-2b6db622cc3a,Jeffery,Wilson,SF,RB,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:05:36 UTC,122,631468e7-df01-4856-86b2-143736e9e9d6,Kirk,Cousins,MIN,QB,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:05:18 UTC,119,e393bb26-adf6-472d-bdab-3ca511985052,Latavius,Murray,NO,RB,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
2021-05-11 13:01:00 UTC,98,68cec3ff-68dd-41ac-b91a-a40a850340a9,Irv,Smith,MIN,TE,61908f06-1769-4c3b-a864-be66bcba93a2,85cfc1d8-1dfe-4813-b401-0ad011f22fa7,0,12,0,Best Ball Mania II,a51a9d58-7d22-4d86-843b-b3a9d8a21621,25,3500001,155520,,,,,
